OM2Ws,EL12Wl,EL4Wl,EL2Wl,OM4Wl,OM2Wl,OM8Wl,EL4Ws,OM8Ws,WH2Ms,WH4Ml,WH2Ml,WH1Ml,WH4Ms,WH1Ms,OM4Ws,EL2Ws,EL12Ws
1,0.152989781,0.425491508,0.538520815,0.257844449,0.667155924,0.231122688,0.490814669,0.380499329,0.04641749,0.018569072,0.018600348,0.043008817,0.020492861,0.059328875,0.567239579,0.469083324,0.226950279
0.152989781,1,0.256298366,0.170018169,0.261311402,0.16301342,0.274215565,0.216490143,0.226144963,0.044055509,0.052261818,0.067576386,0.065929583,0.070466946,0.051736108,0.205638198,0.187645379,0.42152499
0.425491508,0.256298366,1,0.593398946,0.345405214,0.497442412,0.315139864,0.603584629,0.327073065,0.004645712,0.004128397,0.002736731,0.005428587,0.008568307,0.006150143,0.476704741,0.490111493,0.322379434
0.538520815,0.170018169,0.593398946,1,0.280456981,0.534842528,0.22749227,0.643382762,0.289255888,0.038980862,0.003506114,0.002845644,0.03113148,0.008300868,0.052325017,0.4435447,0.612313316,0.257426923
0.257844449,0.261311402,0.345405214,0.280456981,1,0.311116377,0.236458134,0.272922949,0.179510787,0.003601205,0.00526236,0.004059481,0.005819718,0.006783729,0.004626026,0.307568951,0.259430618,0.179405229
0.667155924,0.16301342,0.497442412,0.534842528,0.311116377,1,0.267179039,0.469900834,0.388306105,0.032770197,0.016603969,0.016857813,0.031942211,0.017200521,0.041504807,0.583035706,0.429039275,0.233032917
0.231122688,0.274215565,0.315139864,0.22749227,0.236458134,0.267179039,1,0.283480115,0.506279556,0.147287505,0.182383876,0.200846692,0.217766436,0.184406451,0.16054716,0.313893093,0.262835549,0.312388175
0.490814669,0.216490143,0.603584629,0.643382762,0.272922949,0.469900834,0.283480115,1,0.344770163,0.045803957,0.026740338,0.00841408,0.033579184,0.028862165,0.059134858,0.48601901,0.605271201,0.329935136
0.380499329,0.226144963,0.327073065,0.289255888,0.179510787,0.388306105,0.506279556,0.344770163,1,0.175843054,0.181223692,0.188275639,0.211708692,0.21554813,0.193603987,0.44725333,0.324390815,0.342829539
0.04641749,0.044055509,0.004645712,0.038980862,0.003601205,0.032770197,0.147287505,0.045803957,0.175843054,1,0.301259553,0.396119279,0.388513156,0.395058528,0.498194562,0.043195895,0.052707284,0.076185156
0.018569072,0.052261818,0.004128397,0.003506114,0.00526236,0.016603969,0.182383876,0.026740338,0.181223692,0.301259553,1,0.321141658,0.397586666,0.553367382,0.340790343,0.041081107,0.028286318,0.076168898
0.018600348,0.067576386,0.002736731,0.002845644,0.004059481,0.016857813,0.200846692,0.00841408,0.188275639,0.396119279,0.321141658,1,0.479330493,0.352825034,0.353978121,0.040322863,0.020938403,0.092290214
0.043008817,0.065929583,0.005428587,0.03113148,0.005819718,0.031942211,0.217766436,0.033579184,0.211708692,0.388513156,0.397586666,0.479330493,1,0.420868479,0.46743207,0.046833769,0.047406511,0.09132291
0.020492861,0.070466946,0.008568307,0.008300868,0.006783729,0.017200521,0.184406451,0.028862165,0.21554813,0.395058528,0.553367382,0.352825034,0.420868479,1,0.435896709,0.042313693,0.031132963,0.09789376
0.059328875,0.051736108,0.006150143,0.052325017,0.004626026,0.041504807,0.16054716,0.059134858,0.193603987,0.498194562,0.340790343,0.353978121,0.46743207,0.435896709,1,0.048396122,0.064688767,0.08333784
0.567239579,0.205638198,0.476704741,0.4435447,0.307568951,0.583035706,0.313893093,0.48601901,0.44725333,0.043195895,0.041081107,0.040322863,0.046833769,0.042313693,0.048396122,1,0.478937668,0.293419128
0.469083324,0.187645379,0.490111493,0.612313316,0.259430618,0.429039275,0.262835549,0.605271201,0.324390815,0.052707284,0.028286318,0.020938403,0.047406511,0.031132963,0.064688767,0.478937668,1,0.287776917
0.226950279,0.42152499,0.322379434,0.257426923,0.179405229,0.233032917,0.312388175,0.329935136,0.342829539,0.076185156,0.076168898,0.092290214,0.09132291,0.09789376,0.08333784,0.293419128,0.287776917,1